Poll source,Date,Samplesize[b],Marginof error,DonaldTrumpRepublican,JoeBidenDemocratic,JoJorgensenLibertarian,HowieHawkinsGreen,Other,Abstention,Undecided,Lead
USC Dornsife,Sep 1–7,"2,508 (LV)",–,41%[c],53%,–[d],–[e],–[f],–[g],–,12%
USC Dornsife,Sep 1–7,"2,508 (LV)",–,42%[h],52%,–,–,–[i],–,–,10%
YouGov/CBS,Sep 2–4,"2,433 (LV)",± 2.4%,42%,52%,-,-,3%[j],–,3%,10%
Harvard-Harris,Aug 31 – Sep 2,– (LV)[k],–,47%,53%,–,–,–,–,6%,6%
Data for Progress,Sep 1,695 (RV),–,43%,53%,–,–,4%[l],–,–,10%
YouGov/Economist,Aug 30 – Sep 1,"1,207 (RV)",± 3.6%,40%,51%,–,–,2%,2%,4%,11%
IBD/TIPP,Aug 29 – Sep 1,"1,033 (RV)",–,41%,49%,–,–,–,–,–,8%
Pulse Opinion Research/Rasmussen Reports,"Aug 26–27,Aug 30 – Sep 1","2,500 (LV)",± 2%,45%,49%,–,–,3%[m],–,3%,4%
Ipsos/Reuters,Aug 31 – Sep 1,"1,089 (RV)",± 3.4%,40%,47%,–,–,5%[n],2%,5%,7%
Redfield & Wilton Strategies,Aug 31 – Sep 1,"1,835 (LV)",–,41%,49%,2%,1%,1%[o],–,7%,8%
CNN/SSRS,Aug 28 – Sep 1,997 (RV),± 4%,43%,51%,–,–,1%,2%,3%,8%
Emerson College,Aug 30–31,"1,567 (LV)",± 2.4%,49%[p],51%,–,–,–,–,–,2%
HarrisX/The Hill,Aug 29–31,"2,834 (RV)",± 1.84%,40%,46%,–,–,4%,4%,7%,6%
Quinnipiac University,Aug 28–31,"1,081 (LV)",± 3%,42%,52%,–,–,2%[q],–,3%,10%
Suffolk University/USA Today,Aug 28–31,"1,000 (RV)",± 3.1%,42%[r],47%,1%,0%,3%[s],7%,1%,5%
Suffolk University/USA Today,Aug 28–31,"1,000 (RV)",± 3.1%,43%[t],50%,–,–,3%[u],–,4%,7%
Global Strategy Group/GBAO,Aug 27–31,"1,309 (RV)",± 3.1%,43%,52%,–,–,–,1%,4%,9%
Brandwatch Qriously,Aug 27–31,"1,998 (LV)",± 2.7%,41%,46%,2%,1%,–,1%,10%,5%
USC Dornsife,Aug 25–31,"2,636 (LV)",–,42%[v],52%,–[w],–[x],–[y],–[z],–,10%
USC Dornsife,Aug 25–31,"2,636 (LV)",–,42%[aa],51%,–,–,–[ab],–,–,9%
Léger,Aug 28–30,861 (LV),± 3.1%,42%,49%,1%,0%,1%[ac],1%,6%,7%
Selzer & Co./Grinnell College,Aug 26–30,827 (LV),± 3.4%,41%,49%,–,–,3%[ad],1%,5%,8%
Atlas Intel,Aug 24–30,"4,210 (LV)",± 2%,46%,49%,–,–,2%,1%,1%,3%
John Zogby Strategies/EMI Research,Aug 29,"1,007 (LV)",± 3.2%,42%[ae],45%,3%,2%,–,–,–,3%
John Zogby Strategies/EMI Research,Aug 29,"1,007 (LV)",± 3.2%,42%[af],48%,–,–,–,–,10%,6%
Morning Consult,Aug 29,"4,035 (LV)",± 2%,44%,50%,–,–,7%[ag],–,–,6%
RMG Research/Just the News,Aug 27–29,915 (LV)[ah],± 3.2%,44%,48%,2%,1%,1%,–,4%,4%
RMG Research/Just the News,Aug 27–29,–[ai],–,42%,50%,–,–,–,–,–,8%
YouGov/Yahoo News,Aug 27–28,807 (RV),–,41%,47%,–,–,3%,1%,8%,6%
Morning Consult,Aug 26–28,"12,000 (LV)",± 1%,43%,50%,–,–,2%[aj],–,4%,7%
HarrisX/The Hill,Aug 25–28,"2,862 (RV)",± 1.83%,38%,47%,–,–,4%,4%,8%,9%
Survey Sampling International/University of Maryland,Aug 24–28,"1,724 (A)",± 2.36%,37%,50%,-,-,5%[ak],3%,7%,13%
Redfield & Wilton Strategies,Aug 25–26,"1,834 (LV)",–,39%,49%,2%,1%,1%[al],–,9%,10%
Opinium/The Guardian[1],Aug 21–26,"1,257 (LV)",–,39%,54%,–,–,2%,–,5%,15%
YouGov/Economist,Aug 23–25,"1,254 (RV)",–,41%,50%,–,–,1%,3%,4%,9%
Morning Consult,Aug 23–25,"12,000 (LV)",± 1%,43%,51%,–,–,2%[am],–,4%,8%
HarrisX/The Hill,Aug 22–25,"2,861(RV)",± 1.84%,38%,47%,–,–,4%,3%,8%,9%
Pulse Opinion Research/Rasmussen Reports,"Aug 19–20, Aug 23–25","2,500 (LV)",± 2.5%,45%,46%,–,–,6%[an],–,4%,1%
Ipsos/Reuters,Aug 19–25,"3,829 (RV)",± 1.8%,40%,47%,–,–,5%[ao],2%,6%,7%
Global Strategy Group/GBAO,Aug 21–24,"1,319 (RV)",± 3.1%,41%,54%,–,–,–,1%,5%,13%
USC Dornsife,Aug 18–24,"2,372 (LV)",–,39%[ap],55%,–[aq],–[ar],–[as],–[at],–,16%
USC Dornsife,Aug 18–24,"2,373 (LV)",–,39%[au],53%,–,–,–[av],–,–,14%
Morning Consult,Aug 23,"4,810 (LV)",± 1%,42%,52%,–,–,6%[aw],–,–,10%
Change Research/CNBC,Aug 21–23,"2,362 (LV)",± 2.02%,43%,51%,2%,2%,–,0%,2%,8%
Léger,Aug 21–23,894 (LV),± 3.1%,40%,49%,2%,1%,1%[ax],1%,6%,9%
YouGov/Yahoo News,Aug 20–23,906 (RV),–,39%,50%,–,–,3%,2%,7%,11%
Survey Sampling International/University of Maryland,Aug 18–23,"2,208 (A)",± 2.09%,39%,48%,-,-,5%[ay],3%,6%,9%
Morning Consult,Aug 20–22,"12,000 (LV)",± 1%,43%,52%,–,–,2%[az],–,4%,9%
YouGov/CBS,Aug 20–22,934 (LV),± 3.7%,42%,52%,–,–,4%[ba],–,3%,10%
Morning Consult,Aug 21,"4,377 (LV)",± 1%,43%,52%,–,–,6%[bb],–,–,9%
Redfield & Wilton Strategies,Aug 19–20,"1,860 (LV)",–,39%,49%,1%,1%,1%[bc],–,9%,10%
Morning Consult,Aug 17–19,"12,000 (LV)",± 1%,43%,51%,–,–,2%[bd],–,4%,8%
YouGov/Economist,Aug 16–18,"1,246 (RV)",± 3.4%,40%,50%,–,–,4%,1%,4%,10%
HarrisX/The Hill,Aug 15–18,"2,840 (RV)",± 1.84%,38%,46%,–,–,4%,3%,8%,8%
Ipsos/Reuters,Aug 14–18,"1,179 (RV)",± 3.3%,40%,48%,–,–,5%[be],1%,5%,8%
Echelon Insights,Aug 14–18,"1,004 (LV)",± 3.3%,38%[bf],51%,2%,1%,1%[bg],–,8%,13%
Echelon Insights,Aug 14–18,"1,004 (LV)",± 3.3%,39%[bh],53%,–,–,–,–,8%,14%
Pulse Opinion Research/Rasmussen Reports,Aug 12–18,"2,500 (LV)",± 2%,44%,48%,–,–,4%[bi],–,4%,4%
